Ticker,Timestamp,Price,Pivot,Ext%,Intraday_RVOL,Verdict
HAPPSTMNDS,12:11:45,349.75,349.05,0.2,2.92,⚠️ FAKEOUT TRAP (Selling Wick)
BRITANNIA,12:14:09,5338.5,5330.0,0.16,3.17,🔥 VALID BREAKOUT
BALRAMCHIN,12:14:24,564.6,563.55,0.19,3.56,🔥 VALID BREAKOUT
GODREJCP,12:14:30,1070.5,1062.8,0.72,4.18,🔥 VALID BREAKOUT
MBAPL,12:14:33,609.4,609.0,0.07,4.9,⚠️ FAKEOUT TRAP (Selling Wick)
PNCINFRA,12:14:45,232.4,232.3,0.04,1.84,🔥 VALID BREAKOUT
HAPPSTMNDS,12:15:00,352.8,349.05,1.07,6.9,🔥 VALID BREAKOUT
DIXON,12:17:59,12354.0,12340.0,0.11,1.81,⚠️ FAKEOUT TRAP (Selling Wick)
DATAPATTNS,12:23:11,4704.8,4664.0,0.87,4.13,🔥 VALID BREAKOUT
HINDUNILVR,12:24:48,2197.6,2197.0,0.03,1.88,⚠️ FAKEOUT TRAP (Selling Wick)
PROTEAN,12:25:21,604.55,601.9,0.44,3.56,⚠️ FAKEOUT TRAP (Selling Wick)
VMM,14:08:13,121.08,120.85,0.19,6.25,🔥 VALID BREAKOUT
LXCHEM,14:08:26,165.42,164.65,0.47,2.25,🔥 VALID BREAKOUT
CEMPRO,14:08:26,1431.4,1431.4,0.0,42.29,⚠️ FAKEOUT TRAP (Selling Wick)
JAMNAAUTO,14:08:27,139.91,138.05,1.35,6.81,🔥 VALID BREAKOUT
SONACOMS,14:08:27,667.0,664.5,0.38,2.15,🔥 VALID BREAKOUT
APOLLOTYRE,14:08:30,454.1,453.9,0.04,2.08,🔥 VALID BREAKOUT
AEGISLOG,14:13:13,1315.0,1305.0,0.77,13.82,⚠️ FAKEOUT TRAP (Selling Wick)
ANGELONE,14:13:31,346.55,345.05,0.43,1.84,🔥 VALID BREAKOUT
POLYMED,14:17:40,1746.8,1746.0,0.05,6.57,🔥 VALID BREAKOUT
APOLLO,14:18:58,438.15,436.7,0.33,5.34,🔥 VALID BREAKOUT
APOLLO,14:27:55,439.05,436.7,0.54,2.12,⚠️ FAKEOUT TRAP (Selling Wick)
OBEROIRLTY,14:28:56,1868.8,1862.9,0.32,3.2,🔥 VALID BREAKOUT
