Ticker,Timestamp,Price,Pivot,Ext%,RVOL,Status,Entry,Stop_Loss,Target_1,Target_2,Dist_T1%,Dist_T2%,Remaining_R,Units,Capital_Used,Max_Loss_Rs,Concentration,Sizing_Note,Hold_Period,Tier,Opportunity,Readiness
MBAPL,11:19:58,152.55,151.54,0.67,2.45,🔥 VALID BREAKOUT,152.55,139.85,177.94,203.34,16.6,33.3,2.0,19,2898.45,241.23,5.8,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure
DEEPINDS,11:19:58,518.25,494.3,4.84,8.1,⚠️ BREAKOUT EXTENDED,518.25,489.22,576.31,634.37,11.2,22.4,2.0,8,4146.0,232.24,8.29,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Bullish Accumulation,Developing Structure
MBAPL,11:26:02,153.85,151.54,1.52,2.52,⚠️ BREAKOUT EXTENDED,153.85,141.15,179.24,204.64,16.5,33.0,2.0,19,2923.15,241.23,5.85,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure
SPORTKING,11:34:52,217.82,217.21,0.28,2.28,🔥 VALID BREAKOUT,217.82,202.57,248.32,278.82,14.0,28.0,2.0,16,3485.12,244.01,6.97,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure
KAMDHENU,11:47:57,36.15,35.63,1.47,4.04,🔥 VALID BREAKOUT,36.15,33.26,41.93,47.7,16.0,32.0,2.0,86,3108.9,248.32,6.22,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure
KRISHANA,11:48:54,166.75,159.76,4.37,2.04,⚠️ BREAKOUT EXTENDED,166.75,154.12,192.01,217.28,15.2,30.3,2.0,19,3168.25,240.01,6.34,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure
GUJALKALI,11:54:52,692.4,668.78,3.53,7.93,⚠️ BREAKOUT EXTENDED,692.4,654.29,768.61,844.82,11.0,22.0,2.0,6,4154.4,228.63,8.31,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure
GPTHEALTH,11:54:54,163.56,163.42,0.09,3.33,🔥 VALID BREAKOUT,163.56,154.94,180.79,198.02,10.5,21.1,2.0,29,4743.24,249.85,9.49,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Bullish Accumulation,Developing Structure
ORIENTLTD,12:05:01,96.4,76.38,26.21,2.35,⚠️ BREAKOUT EXTENDED,96.4,90.1,109.0,121.6,13.1,26.1,2.0,39,3759.6,245.74,7.52,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Bullish Accumulation,Developing Structure
DEEPINDS,12:14:36,515.25,494.3,4.24,3.01,⚠️ BREAKOUT EXTENDED,515.25,486.22,573.31,631.37,11.3,22.5,2.0,8,4122.0,232.24,8.24,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Bullish Accumulation,Developing Structure,73,B Conviction,"Valid breakout, missing 1-2 aggressive supporting signals",7.723907368889407,4.996387810781496,8.0,8.5
LLOYDSME,12:28:31,2004.0,1977.22,1.35,2.72,🔥 VALID BREAKOUT,2004.0,1909.86,2192.27,2380.54,9.4,18.8,2.0,2,4008.0,188.27,8.02,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure,83,A Conviction,Breakout + RVOL > 2× + Solid Structural Evidence,8.45400628551682,5.4115219639235255,9.5,10.0
NILKAMAL,12:32:38,1743.8,1710.99,1.92,2.59,⚠️ BREAKOUT EXTENDED,1743.8,1625.85,1979.69,2215.58,13.5,27.1,2.0,2,3487.6,235.89,6.98,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Bullish Accumulation,Developing Structure,62,Watchlist (C),Breakout triggered but structurally weak or extended,6.060130064808354,4.652290930773283,6.5,8.5
E2E,12:33:24,542.5,499.48,8.61,2.6,⚠️ BREAKOUT EXTENDED,542.5,507.96,611.59,680.67,12.7,25.5,2.0,7,3797.5,241.8,7.6,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure,73,B Conviction,"Valid breakout, missing 1-2 aggressive supporting signals",9.13935720402836,5.948170230805109,6.5,8.5
MBAPL,12:33:35,155.3,151.54,2.48,2.76,⚠️ BREAKOUT EXTENDED,155.3,142.6,180.69,206.09,16.4,32.7,2.0,19,2950.7,241.23,5.9,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure,68,Watchlist (C),Breakout triggered but structurally weak or extended,8.958010053769295,5.036833278690739,6.5,7.0
NILKAMAL,12:33:38,1732.0,1710.99,1.23,4.04,🔥 VALID BREAKOUT,1732.0,1614.05,1967.89,2203.78,13.6,27.2,2.0,2,3464.0,235.89,6.93,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Bullish Accumulation,Developing Structure,75,B Conviction,"Valid breakout, missing 1-2 aggressive supporting signals",6.060130064808354,4.652290930773283,10.0,8.5
MAHLOG,12:47:31,429.7,426.3,0.8,2.18,🔥 VALID BREAKOUT,429.7,402.95,483.2,536.7,12.5,24.9,2.0,9,3867.3,240.74,7.73,,Reassess at 30 trading days — high probability setup.,TIER-2: High Probability Setup,Bullish Accumulation,Developing Structure,80,A Conviction,Breakout + RVOL > 2× + Solid Structural Evidence,8.19729408579944,5.307563026797764,9.5,8.5
FAIRCHEMOR,12:49:40,799.0,785.2,1.76,72.25,⚠️ BREAKOUT EXTENDED,799.0,743.56,909.87,1020.75,13.9,27.8,2.0,4,3196.0,221.75,6.39,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Normal Monitoring,Developing Structure,67,Watchlist (C),Breakout triggered but structurally weak or extended,6.353205531866326,4.342393996509956,8.0,8.5
EPIGRAL,12:54:53,1202.3,1193.13,0.77,2.44,🔥 VALID BREAKOUT,1202.3,1123.64,1359.63,1516.96,13.1,26.2,2.0,3,3606.9,235.99,7.21,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Normal Monitoring,Developing Structure,65,Watchlist (C),Breakout triggered but structurally weak or extended,3.6861310068714728,3.8336828877893367,9.5,8.5
CINELINE,12:57:43,86.98,86.26,0.83,3.29,🔥 VALID BREAKOUT,86.98,81.03,98.89,110.79,13.7,27.4,2.0,41,3566.18,244.07,7.13,,Hard review at 15 trading days — developing / lower conviction.,TIER-3: Watchlist / Developing,Normal Monitoring,Developing Structure,73,B Conviction,"Valid breakout, missing 1-2 aggressive supporting signals",5.930596386051878,3.9819823470095326,10.0,8.5
