Ticker,Profile,Shares,Stop_Loss,Total_Investment
POWERINDIA.NS,HighRisk,0,27478.75,0.0
SCHNEIDER.NS,HighRisk,14,984.25,14504.7
GVT&D.NS,HighRisk,3,3931.29,12414.6
APARINDS.NS,HighRisk,1,10907.9,11482.0
ACUTAAS.NS,HighRisk,6,2243.61,14170.2
ADANIPOWER.NS,HighRisk,75,188.57,14887.5
KIRLOSENG.NS,HighRisk,9,1537.48,14565.6
SYRMA.NS,HighRisk,15,929.19,14671.5
ABB.NS,HighRisk,2,6678.02,14059.0
DATAPATTNS.NS,HighRisk,4,3319.49,13976.8
NATCOPHARM.NS,HighRisk,13,1063.71,14556.1
VTL.NS,HighRisk,26,529.72,14497.6
CUMMINSIND.NS,HighRisk,2,4883.85,10281.8
ATHERENERG.NS,HighRisk,17,808.4,14466.15
CHENNPETRO.NS,HighRisk,14,989.76,14585.9
GESHIP.NS,HighRisk,10,1353.08,14243.0
VEDL.NS,HighRisk,19,748.12,14962.5
ABSLAMC.NS,HighRisk,14,1014.84,14955.5
MCX.NS,HighRisk,5,2713.29,14280.5
CGPOWER.NS,HighRisk,19,736.06,14721.2
NATIONALUM.NS,HighRisk,34,416.81,14917.5
GMDCLTD.NS,HighRisk,20,700.05,14738.0
ADANIENSOL.NS,HighRisk,11,1196.81,13857.8
J&KBANK.NS,HighRisk,114,124.69,14962.5
SONACOMS.NS,HighRisk,25,564.16,14846.25
ONGC.NS,HighRisk,52,269.85,14770.6
HONASA.NS,HighRisk,43,328.03,14847.9
LINDEINDIA.NS,HighRisk,2,6877.52,14479.0
PFC.NS,HighRisk,32,441.61,14875.2
BSE.NS,HighRisk,4,3354.92,14126.0
BELRISE.NS,HighRisk,70,203.39,14987.0
FINCABLES.NS,HighRisk,15,893.52,14108.25
POWERGRID.NS,HighRisk,47,302.19,14950.7
GPIL.NS,HighRisk,49,290.27,14971.95
NTPC.NS,HighRisk,38,373.92,14956.8
SARDAEN.NS,HighRisk,25,565.73,14887.5
SAIL.NS,HighRisk,86,164.66,14906.38
CCL.NS,HighRisk,13,1034.93,14162.2
SUNTV.NS,HighRisk,23,611.09,14794.75
NLCINDIA.NS,HighRisk,49,285.62,14731.85
ANANDRATHI.NS,HighRisk,4,3505.31,14759.2
AUROPHARMA.NS,HighRisk,10,1316.7,13860.0
ASTERDM.NS,HighRisk,21,653.74,14451.15
TIMKEN.NS,HighRisk,4,3331.27,14026.4
BHEL.NS,HighRisk,47,300.95,14889.13
HEG.NS,Growth,63,569.7,39879.0
GLENMARK.NS,Growth,17,2024.55,38241.5
GRANULES.NS,Growth,61,590.13,39997.7
LAURUSLABS.NS,Growth,35,1022.18,39751.25
EMCURE.NS,Growth,23,1504.89,38458.3
NMDC.NS,Growth,445,80.8,39952.1
SAILIFE.NS,Growth,41,873.94,39813.05
TITAN.NS,Growth,8,4073.31,36207.2
STARHEALTH.NS,Growth,79,453.02,39764.65
JBCHEPHARM.NS,Growth,20,1798.2,39960.0
LUPIN.NS,Growth,17,2093.49,39543.7
GICRE.NS,Growth,99,360.36,39639.6
COALINDIA.NS,Growth,91,394.88,39926.25
