Security,No. of Smallcases,Quantity,Average Cost ₹,Portfolio Weight %,LTP ₹,Invested Value ₹,Current Value ₹,P & L ₹,Net Change %,Daily Change ₹,Daily Change %
,,,,,,,,,,,
Stocks/ETFs,,,,,,,,,,,
,,,,,,,,,,,
ADANI PORT & SEZ LTD,0,10,1835,0.09,1835.3,636.85,18353,3,0.97,-4.2,-0.65
ANTONY WASTE HDG CELL LTD,0,70,476.21,3.84,474.5,27925.7,33215,-119.7,1.7,19.7,1.55
AXIS BANK LIMITED,0,1,1235,2.1,1357.9,15665,1357.9,122.9,-0.74,-4.1,-0.34
BHARAT ELECTRONICS LTD,0,110,436.98,17.46,426.9,154839.22,46959,-1108.8,-16.52,-0.85,-0.54
BIRLA COTSYN,0,52000,0,47.56,0,378607.8,0,0,-7.03,-0.05,-0.02
JSW INFRASTRUCTURE LTD,0,200,272.66,1.32,308.15,8880,61630,7098,10.09,48,1.49
JSW STEEL LIMITED,0,30,1296.12,0.92,1287.7,6475,38631,-252.6,5.33,-10.5,-0.76
LARSEN & TOUBRO LTD.,0,10,3919.22,9.77,4209.4,67223.5,42094,2901.8,7.55,-17.6,-1.2
RASHI PERIPHERALS LIMITED,0,10,740.95,2.66,750.65,20163,7506.5,97,-2.37,-117.6,-2.9
RELIANCE INDUSTRIES LTD,0,50,1306.8,1.38,1309.5,9880,65475,135,3.34,-0.65,-0.13
ADANIPORTS,0,5,1835,1.68,1835.3,9175,9176.5,1.5,0.02,-0.37,0.49
AWHCL,0,5,485.09,1.4,474.5,2425.45,2372.5,-52.95,-2.18,1.06,0.3
BEL,0,30,427.77,0.25,427.15,12833.1,12814.5,-18.6,-0.14,-0.33,0.23
IRCON,0,839,188.12,2.09,137.9,157836.13,115698.1,-42138.03,-26.7,-0.83,-0.04
JSWINFRA,0,75,274.49,0.34,308.65,20586.8,23148.75,2561.95,12.44,0.23,0.17
LAURUSLABS,0,20,1372.1,0.51,1412.9,27442,28258,816,2.97,3.22,3.18
M&M,0,4,3096.95,1.77,3074.8,12387.8,12299.2,-88.6,-0.72,-1.97,0.72
RPTECH,0,10,744.5,1.54,752.8,7445,7528,83,1.11,2.86,3.5
