Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,1M Return,1D Return,Return on Equity,PB Ratio,RSI – 14D,% Away From 52W High,Daily Volume,5Y Historical EPS Growth,5Y Historical Revenue Growth,1Y Historical EPS Growth
Reliance Industries Ltd,RELIANCE,Oil & Gas - Refining & Marketing,1868428.497,1380.7,26.826735822656502,-4.469660278,-0.826030743,7.197219819635489,1.8506144815767225,41.8043202,16.737886579271375,17173311,12.268706046048727,9.976772188563565,5.113977655982576
HDFC Bank Ltd,HDFCBANK,Private Banks,1257386.077,817,17.76163460304058,-10.92940856,-1.891323927,14.047097534079553,2.3365042191558576,19.21454073,24.908200734394125,39183379,13.236245334666252,26.20741906627151,-4.512847598
Larsen and Toubro Ltd,LT,Construction & Engineering,473072.8048,3439,31.46035407223199,-17.72727273,-7.541336201,13.798467139801561,4.099286996940652,18.0856833,29.10729863332364,10762043,9.955168637288448,11.887024059023755,16.414866353297917
Sun Pharmaceutical Industries Ltd,SUNPHARMA,Pharmaceuticals,432264.1882,1801.6,39.55189002832818,5.184493227,-1.298416699,15.65631695122816,5.9634203344951695,66.91498685,2.7531083481350027,2548729,23.755646113399663,10.322183575687504,14.124961624329911
HCL Technologies Ltd,HCLTECH,IT Services & Consulting,358588.3337,1325.4,20.62037571616216,-5.537737866,-2.407775569,25.213129965783217,5.146733077434013,27.84204228,34.30662441527084,2187022,9.474943696381267,10.89893931861221,10.750222901541193
Bharat Electronics Ltd,BEL,Electronic Equipments,321191.68174626003,439.4,60.35803875384482,-0.823834782,-3.119832433,29.289197137260363,16.06534351,49.15418076,7.7492034592626435,19460211,23.88359531860487,13.406240179634853,33.55284952767206
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,Ports,314075.7042,1363.2,28.314724727253367,-11.226882,-2.0337765,18.517618582608744,4.822828411334171,32.17976448,16.19718309859155,2683126,22.85879337857102,18.581020775750858,36.76245031218256
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments,261785.286,3914.4,31.298567334558403,-6.972764865,-2.469166563,26.0861497,7.482750148134195,35.07009346,31.948702227672186,2111516,23.743002511570023,8.963081843,9.750362482859982
Adani Enterprises Ltd,ADANIENT,Commodities Trading,250255.929,1961.1,35.18803944215099,-10.61531449,-2.042957043,14.13111531329148,4.431626257,27.17714286,33.23032991688339,1193383,43.05413142909891,18.62071474190785,118.17855067169324
Divi's Laboratories Ltd,DIVISLAB,Labs & Life Sciences Services,161165.9749,6071,73.55818115837516,-1.075444028,-3.358802929,15.353889278206026,10.766649403300153,36.98224852,16.479986822599237,200831,9.741453582060222,11.704810225191187,36.937499999999986
Jio Financial Services Ltd,JIOFIN,Consumer Finance,149457.6567,235.25,92.68174593732755,-11.85837392,-2.869529315,1.2279655311608273,1.2102175565843876,26.76616915,43.93198724760894,13277935,,,-49.73291995
Solar Industries India Ltd,SOLARINDS,Commodity Chemicals,128957.3774,14251,106.62569237043587,7.497925624198537,-1.886402754,30.322532928344273,28.342779077544225,63.79659058,25.04385657146866,162450,35.230558209217165,27.300056850296816,44.68197097843131
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution,126199.93540876498,394.95,31.780391691958013,4.677975086138345,-1.790376725,9.812350836391074,2.962019831,62.09850107,5.532345866565391,9004950,26.99932696351759,16.838166677857778,7.433209333783839
BSE Ltd,BSE,Stock Exchanges & Ratings,113921.5518,2797,85.92081683767134,-10.29793785,-1.880305901,33.021931768936874,24.89707625869266,54.7356284,15.37361458705757,3298431,63.35566742398087,37.00348938125917,70.39193099335537
CG Power and Industrial Solutions Ltd,CGPOWER,Heavy Electrical Equipments,111803.40106291001,709.9,114.71721841053768,4.496945609774042,-3.716262037,27.623150615044494,27.690353267364767,49.43196163,12.346809409776016,5414227,,13.480996569262626,-31.74407919
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,108557.416,7550,75.07947716647077,0.17912824255290918,-0.323453693,15.70051850042076,9.781709860785726,46.22913069,7.2781456953642465,393408,25.193877441905688,13.93670836975791,60.90585354996633
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,107595.7517,1292.3,19.02632168,1.6038996776476029,-2.024260804,18.188806443001386,3.1713527040062015,52.72810637,6.7631354948541444,1572256,22.68073409568445,13.162815093127268,1.273690755637553
Mazagon Dock Shipbuilders Ltd,MAZDOCK,Shipbuilding,93906.864,2328,38.90883568,-2.716255746,-4.719027545,34.033003486482386,11.827239706393552,48.16545123,62.15635738831615,1693879,61.033570041860074,18.103842284287186,24.602342834427006
Waaree Energies Ltd,WAAREEENER,Renewable Energy Equipment & Services,78428.16916,2726.6,41.99881607875159,-13.09918409,-0.467255603,27.174348814044496,8.173619650213439,38.54501608,41.75163206924375,2247351,100.1196481052943,49.00322124565388,38.89219803
Persistent Systems Ltd,PERSISTENT,Software Services,72535.02158,4638.8,51.80480914892588,-12.59091766,-1.603597489,24.832620659443542,11.478749496042926,30.0528169,42.25661809088557,498883,32.80101149861452,26.704790250343223,26.808493203922787
NMDC Ltd,NMDC,Mining - Iron Ore,69094.89413,78.59,10.579478906918208,-3.653303911,-2.819339681,23.586202189270537,2.325865131777906,45.83333333,10.344827586206895,21643860,22.03690546092607,15.526874421572124,17.23595515577859
Dixon Technologies (India) Ltd,DIXON,Home Electronics & Appliances,62856.99698,10338,57.375355517279225,-10.13560501,-4.3043599,42.05987987169416,18.071962676537805,41.48886827,78.67092280905396,845853,54.02556955633875,54.956724626891365,196.22479445297034
Biocon Ltd,BIOCON,Biotechnology,62109.45393,383.55,61.29424053019825,1.3743887934452197,-2.205507394,3.824690067242534,2.241207178322056,49.67266776,10.793899100508408,4747925,6.243079194258616,20.22317203031536,-0.899755501
JSW Infrastructure Ltd,JSWINFRA,Ports,52816.396749759995,253.4,35.13877953918618,-2.594656929,-2.143270902,16.058709997590796,5.035509029140634,50.30395137,37.72691397000789,1114400,46.73390868135445,31.302544830737556,22.749513422357445
Bharat Dynamics Ltd,BDL,Aerospace & Defense Equipments,48093,1312,87.50068227716827,4.267662719542243,-2.771602194,14.377361599943502,11.996408037017172,50.2313476,59.80182926829267,1409515,0.5447888272547052,2.9664782013753666,-10.29670975
Hindustan Copper Ltd,HINDCOPPER,Mining - Copper,47993.40211,496.3,103.18498906217754,-18.59263512,-5.887930217,18.807811517520104,18.036394221772913,29.53586498,53.14326012492443,10801026,,19.30382532707935,57.50228573363574
Thermax Limited,THERMAX,Industrial Machinery,36284.06188,3221,57.18798663419866,13.691715788359044,1.7597068208384612,13.524713345654295,7.341117772458918,55.28244275,27.035082272586152,236287,24.459006548245753,12.782710579598543,-1.677812046
Container Corporation of India Ltd,CONCOR,Logistics,34531.75717,453.4,26.79476793241512,-9.896661367,-2.943380071,10.535510495044328,2.760149180581944,23.39055794,43.81120423467137,1588735,26.142293405427488,6.578639689163679,3.3521793175347905
AIA Engineering Ltd,AIAENG,Industrial Machinery,34204.71522,3665.3,32.24608784065838,-6.404330839,-1.54453637,15.593270170744805,4.9307150160081985,35.08569025,14.75459034731128,23019,12.55377751223059,8.288801434,-6.091827298
Delhivery Ltd,DELHIVERY,Logistics,30187.62196,403.25,186.22838960579895,-4.680297837,-1.212640862,1.7451875457559962,3.2005027438176867,35.21878335,21.512709237445748,2203720,,25.700570073530038,164.31061857693643
Kaynes Technology India Ltd,KAYNES,Electrical Components & Equipments,23298.56434,3475.6,79.40075774201676,-13.70543252,-6.07248061,11.004931835655492,8.191519091015845,32.61500572,121.6883415813097,1949741,81.60397766804621,50.18876335867788,52.659239523016744
Great Eastern Shipping Company Ltd,GESHIP,Oil & Gas - Storage & Transportation,20842.57783,1459.9,8.890898549815292,11.179651207067261,-1.789438278,17.58858309439948,1.4616974516303904,70.54484892,3.3632440578121647,1195703,63.826570754000265,9.573898449625906,-10.32443549
Netweb Technologies India Ltd,NETWEB,IT Services & Consulting,18084.36219,3176,157.9834209067877,0.9985371748394102,-1.556010167,24.02106853569482,34.100205892934596,32.6501394,41.02644836,1024232,92.52406565135792,49.09578869406231,43.15187241
Data Patterns (India) Ltd,DATAPATTNS,Aerospace & Defense Equipments,17998.84603,3215,81.14533174112977,16.519280951000297,-3.511404562,15.662169938886402,11.933833282611293,60.71030123,12.27060653188181,802936,11.96561225884658,36.34105141610795,22.08156750509119
Gujarat Mineral Development Corporation Ltd,GMDCLTD,Mining - Diversified,16814.25,528.75,24.518074045990762,-8.544495373,-4.815481548,10.962571973899168,2.622416068025216,38.20940819,23.120567375886523,1806836,36.166634850932724,14.564863135643291,14.803468595151836
Tega Industries Ltd,TEGA,Industrial Machinery,13259.28742,1764.9,66.25668309,6.511768255884133,-2.156558377,15.462117348909816,9.493296642099232,59.78994749,20.403422290214746,64081,21.474457977802565,19.315200884387473,3.0884298206912133
Gravita India Ltd,GRAVITA,Metals - Lead,10342.25093,1420,33.10685657671498,-14.04358354,-5.534858968,21.337386018237094,4.9781475723575594,23.16402459,52.816901408450704,398264,55.464223926685264,24.165533373530312,26.24162236451999
Elecon Engineering Company Ltd,ELECON,Heavy Electrical Equipments,8541.783335,380.65,20.577651976511692,-13.9871201,-2.647058824,23.043700315317302,4.273690935287614,28.36615221,88.16498095363197,417260,35.85691291692641,15.891096118766491,16.738849204117102
Transport Corporation of India Ltd,TCI,Logistics,7369.706825910001,960.3,17.871588199699314,-9.225824747,-3.136978011,19.505976623290604,3.3635349218688684,38.85216346,34.22888680620639,23873,23.56394498686447,10.866502962851277,18.281748819726154
Deccan Gold Mines Ltd,DECNGOLD,Mining - Diversified,1851.370544,93.55,-56.4442239,-27.44945568,-6.403201601,-14.50428938,7.686500638649007,13.27014218,73.54863711,1226956,,105.89241364785171,53.659615514888074
