Ticker,Price,RS_Rating,ADX,VCP,Score
POWERINDIA.NS,28925.0,0.7114,20.07,NO,73.14
SCHNEIDER.NS,1036.05,0.6687,26.78,NO,69.55
GVT&D.NS,4138.2,0.5742,40.5,NO,61.47
APARINDS.NS,11482.0,0.5091,34.02,NO,54.31
ACUTAAS.NS,2361.7,0.4532,13.96,YES,51.72
ADANIPOWER.NS,198.5,0.4444,36.92,NO,48.13
KIRLOSENG.NS,1618.4,0.4531,25.02,NO,47.82
SYRMA.NS,978.1,0.4473,28.87,NO,47.61
ABB.NS,7029.5,0.4443,20.18,NO,46.45
DATAPATTNS.NS,3494.2,0.387,25.12,YES,46.21
NATCOPHARM.NS,1119.7,0.3592,34.95,YES,44.42
VTL.NS,557.6,0.3759,12.51,YES,43.84
CUMMINSIND.NS,5140.9,0.3511,23.3,YES,42.44
ATHERENERG.NS,850.95,0.3828,36.2,NO,41.9
CHENNPETRO.NS,1041.85,0.3505,17.84,YES,41.84
GESHIP.NS,1424.3,0.3562,9.97,YES,41.61
VEDL.NS,787.5,0.328,34.4,YES,41.24
ABSLAMC.NS,1068.25,0.3858,23.01,NO,40.88
MCX.NS,2856.1,0.3297,21.12,YES,40.08
CGPOWER.NS,774.8,0.3773,21.13,NO,39.85
NATIONALUM.NS,438.75,0.3209,21.1,YES,39.2
GMDCLTD.NS,736.9,0.3589,30.94,NO,38.99
ADANIENSOL.NS,1259.8,0.3632,22.0,NO,38.52
J&KBANK.NS,131.25,0.363,21.6,NO,38.46
SONACOMS.NS,593.85,0.3559,22.01,NO,37.79
ONGC.NS,284.05,0.2852,41.77,YES,37.7
HONASA.NS,345.3,0.2408,60.08,YES,35.09
LINDEINDIA.NS,7239.5,0.2773,14.63,YES,34.19
PFC.NS,464.85,0.3244,17.37,NO,34.18
BSE.NS,3531.5,0.3173,24.57,NO,34.18
BELRISE.NS,214.1,0.2485,29.13,YES,32.77
FINCABLES.NS,940.55,0.2947,30.04,NO,32.48
POWERGRID.NS,318.1,0.2959,19.25,NO,31.52
GPIL.NS,305.55,0.2514,46.5,NO,29.79
NTPC.NS,393.6,0.227,17.52,YES,29.45
SARDAEN.NS,595.5,0.2602,30.93,NO,29.11
SAIL.NS,173.33,0.2133,26.79,YES,29.01
CCL.NS,1089.4,0.2105,25.88,YES,28.63
SUNTV.NS,643.25,0.2112,21.49,YES,28.27
NLCINDIA.NS,300.65,0.2434,35.6,NO,27.9
ANANDRATHI.NS,3689.8,0.2249,52.68,NO,27.75
AUROPHARMA.NS,1386.0,0.208,17.77,YES,27.58
ASTERDM.NS,688.15,0.2016,22.33,YES,27.39
TIMKEN.NS,3506.6,0.2422,20.06,NO,26.23
BHEL.NS,316.79,0.2343,20.64,NO,25.49
HEG.NS,633.0,0.1631,37.72,YES,25.08
GLENMARK.NS,2249.5,0.1668,11.7,YES,22.85
GRANULES.NS,655.7,0.1411,34.17,YES,22.52
LAURUSLABS.NS,1135.75,0.1405,31.07,YES,22.16
EMCURE.NS,1672.1,0.1371,18.15,YES,20.53
NMDC.NS,89.78,0.1832,20.92,NO,20.42
SAILIFE.NS,971.05,0.1388,14.3,YES,20.31
TITAN.NS,4525.9,0.1213,31.17,YES,20.25
STARHEALTH.NS,503.35,0.184,16.46,NO,20.05
JBCHEPHARM.NS,1998.0,0.1257,18.69,YES,19.44
LUPIN.NS,2326.1,0.1147,13.41,YES,17.81
GICRE.NS,400.4,0.1363,31.81,NO,16.81
COALINDIA.NS,438.75,0.0801,10.94,NO,9.11
