Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1M Return","1D Return","Return on Equity","PB Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1701716.7442915","1239","21.067369164859176","-5.989345509893458","-1.47117296222664","7.709406669173635","1.5671516967024477"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1142360.78936094","1823","42.79274136777176","-7.75123475456103","-0.44235705313745344","15.279235305615318","5.829459936707264"
HDFC Bank Limited,HDFCBANK,"Private Banks","1091700.70926895","716.6","14.359576198356287","-1.4441922838869405","1.1789622308506915","13.261197178569569","1.794248834308419"
ICICI Bank Limited,ICICIBANK,"Private Banks","990066.60989301","1355.5","18.264316875517864","-4.740406320541748","-1.725512941347057","15.306120864302533","2.6083806317979397"
State Bank of India,SBIN,"Public Banks","919092.59303802","972.6","11.033686124070714","-9.039654200338285","-2.3199758963543258","14.875290160579159","1.4947046081264188"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","796268.70096144","2263.8","16.181034362150783","-4.286078748192881","2.862595419847328","48.18628242977934","7.340370406547319"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","643598.53077375","1009.9","33.84263196862188","-6.555555555555551","-2.3779603673272134","17.61502035707916","5.501522075067997"
Larsen and Toubro Ltd,LT,"Construction & Engineering","540811.68242402","3843","33.624223990690155","-4.709230388517698","-2.2311547561502993","13.187157812350483","4.207653831037559"
Life Insurance Corporation Of India,LICI,"Insurance","511186.31419482","391","8.897446253074367","-5.274618920880719","-3.241771838653804","37.75015746439035","2.8899909741606313"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","452766.2361874","1947.5","30.104138044375","-6.412670819450489","1.0638297872340425","30.501840453471512","9.23861892318397"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","444499.11421825","4880","87.62056262926276","-3.959495273130015","-2.5850883321688793","37.12811505104841","28.30663658015984"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","441477.63448","1839.7","38.458182946525184","-5.7475987467255685","-0.016304347826084486","14.682786230150613","5.263221303261075"
Adani Enterprises Limited,ADANIENT,"Commodities Trading","438148.66182681","2932","46.9136537541006","-3.6327739387956592","-4.183006535947713","12.824652743210207","4.913178514119866"
Infosys Limited,INFY,"IT Services & Consulting","420299.57320011","1076.2","14.276480067938518","-7.466277171578321","3.7101281680639877","31.071240105540898","4.504963430765298"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","416806.7875732","412","21.609777102159487","5.347043701799488","-1.6706443914081146","11.388847539830069","2.2999298476161267"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","406556.62243308","1726.6","31.74683395267453","0.8117647058823503","-2.1534625410857986","15.591941973991979","4.100655120128225"
Adani Power Ltd,ADANIPOWER,"Power Generation","404920.734720885","202","31.54988855807369","-1.5546566596812699","-3.7957803495737483","20.63963357063907","6.084144331545972"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","389859.19176","12281","26.55807021765042","-11.587393378632354","-0.9596774193548387","14.43438962969812","3.6382293132554966"
Axis Bank Limited,AXISBANK,"Private Banks","387932.8965456","1224.5","14.702865339223083","0.23770491803279434","-1.725521669341894","13.07137880372597","1.7973707726130046"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","373182.0359592","3050.1","21.824978636528165","-12.071167353572882","-1.8313485677502443","16.63012736567924","3.3182425695103905"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","328034.1375","4684","35.98601710254943","-7.000237699072967","-4.505606523955148","23.97902821486902","7.992138734449841"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","326342.52337554","1260.3","19.609573571418096","-7.660013257715254","4.49382306608076","22.975081107199557","4.339834346789632"
ITC Ltd,ITC,"FMCG - Tobacco","325586.38607553503","259.55","15.736816171488933","-7.2442926478518705","-0.11545122185876903","28.881596102936687","4.467859107191316"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","323602.7146","10750","39.629804228450006","-7.8639104220499565","-2.272727272727273","10.563174214680158","4.009328854387254"
NTPC Ltd,NTPC,"Power Generation","323286.84890756","327.7","11.950341369586265","-3.088235294117647","-1.7096580683863194","13.449739723305218","1.5310545293900077"
Bajaj Auto Ltd.,BAJAJ-AUTO,"Two Wheelers","320915.9220164","11469","29.868731346129653","-2.358974358974359","-1.7896900154135982","28.495765170204127","7.978930155786539"
JSW Steel Limited,JSWSTEEL,"Iron & Steel","308783.745842","1235.8","13.836876942193943","-3.212598425196847","-2.3083003952569205","23.83513214741553","2.92622220598353"
